"date_UTC","date_local","temp","wind_spd","wind_dir","dew_point","atm_pres","temp_noFill","wind_spd_noFill","dew_point_noFill","atm_pres_noFill","rel_hum"
2020-01-01 00:00:00,"2019-12-31 16:00:00",71.51,2.05,340,32,101565,71.51,2.05,32,101565,0.228205482966521
2020-01-01 01:00:00,"2019-12-31 17:00:00",66.92,3.1,340,30.92,101565,66.92,3.1,30.92,101630,0.25645479318306
2020-01-01 02:00:00,"2019-12-31 18:00:00",64.94,4.1,340,30.92,101565,64.94,4.1,30.92,101660,0.27509187332898
2020-01-01 03:00:00,"2019-12-31 19:00:00",64.04,3.6,20,30.92,101565,64.04,3.6,30.92,101710,0.284051083013971
2020-01-01 04:00:00,"2019-12-31 20:00:00",62.06,2.6,360,30.92,101565,62.06,2.6,30.92,101760,0.304912075313618
2020-01-01 05:00:00,"2019-12-31 21:00:00",60.98,2.1,266.666666666667,32,101565,60.98,2.1,32,101780,0.331271528823081
2020-01-01 06:00:00,"2019-12-31 22:00:00",60.98,2.6,173.333333333333,32,101565,60.98,2.6,32,101815,0.331271528823081
2020-01-01 07:00:00,"2019-12-31 23:00:00",57.02,2.6,80,33.08,101565,57.02,2.6,33.08,101750,0.399637098962459
2020-01-01 08:00:00,"2020-01-01 00:00:00",59,3.1,20,33.08,101565,59,3.1,33.08,101720,0.371818531053421
2020-01-01 09:00:00,"2020-01-01 01:00:00",53.06,1.5,60,33.08,101565,53.06,1.5,33.08,101780,0.462414735603023
2020-01-01 10:00:00,"2020-01-01 02:00:00",53.96,2.1,60,32,101565,53.96,2.1,32,101790,0.428087372778341
2020-01-01 11:00:00,"2020-01-01 03:00:00",53.06,2.1,100,32,101565,53.06,2.1,32,101730,0.442608824887071
2020-01-01 12:00:00,"2020-01-01 04:00:00",52.52,1.8,100,32.54,101565,52.52,1.8,32.54,101745,0.46158614528056
2020-01-01 13:00:00,"2020-01-01 05:00:00",51.08,2.1,70,33.08,101565,51.08,2.1,33.08,101770,0.497819001671587
2020-01-01 14:00:00,"2020-01-01 06:00:00",53.06,0,60,30.92,101565,53.06,0,30.92,101780,0.423560680617609
2020-01-01 15:00:00,"2020-01-01 07:00:00",55.04,2.6,50,33.08,101565,55.04,2.6,33.08,101760,0.42976516451016
2020-01-01 16:00:00,"2020-01-01 08:00:00",60.08,2.6,70,33.98,101565,60.08,2.6,33.98,101890,0.370790729089537
2020-01-01 17:00:00,"2020-01-01 09:00:00",62.06,2.6,90,39.02,101565,62.06,2.6,39.02,101850,0.422159252646088
2020-01-01 18:00:00,"2020-01-01 10:00:00",63.05,2.35,90,39.02,101565,63.05,2.35,39.02,101810,0.40745948614126
2020-01-01 19:00:00,"2020-01-01 11:00:00",66.02,1.5,160,39.02,101565,66.02,1.5,39.02,101660,0.366629311480592
2020-01-01 20:00:00,"2020-01-01 12:00:00",66.02,3.1,230,42.08,101565,66.02,3.1,42.08,101490,0.413391571202203
2020-01-01 21:00:00,"2020-01-01 13:00:00",62.96,5.7,270,50,101565,62.96,5.7,50,101490,0.623948973860447
2020-01-01 22:00:00,"2020-01-01 14:00:00",62.96,3.6,250,48.92,101565,62.96,3.6,48.92,101400,0.599080455180195
2020-01-01 23:00:00,"2020-01-01 15:00:00",62.06,4.6,260,51.08,101565,62.06,4.6,51.08,101460,0.670886024676494
2020-01-02 00:00:00,"2020-01-01 16:00:00",61.52,3.85,260,51.53,101565,61.52,3.85,51.53,101415,0.695526838264151
2020-01-02 01:00:00,"2020-01-01 17:00:00",60.08,2.6,260,51.08,101565,60.08,2.6,51.08,101330,0.720162836905149
2020-01-02 02:00:00,"2020-01-01 18:00:00",60.08,3.1,240,51.98,101565,60.08,3.1,51.98,101310,0.744701073752382
2020-01-02 03:00:00,"2020-01-01 19:00:00",60.08,2.6,240,50,101565,60.08,2.6,50,101240,0.691648555776342
2020-01-02 04:00:00,"2020-01-01 20:00:00",59,0,175,51.08,101565,59,0,51.08,101310,0.748700109865494
2020-01-02 05:00:00,"2020-01-01 21:00:00",57.92,2.6,110,51.08,101565,57.92,2.6,51.08,101310,0.778479474005203
2020-01-02 06:00:00,"2020-01-01 22:00:00",56.93,2.6,110,50.54,101565,56.93,2.6,50.54,101305,0.79083789499162
2020-01-02 07:00:00,"2020-01-01 23:00:00",56.48,2.85,80,51.98,101565,56.48,2.85,51.98,101310,0.848092566757003
2020-01-02 08:00:00,"2020-01-02 00:00:00",55.94,0,90,51.08,101565,55.94,0,51.08,101210,0.836498772765699
2020-01-02 09:00:00,"2020-01-02 01:00:00",53.96,2.6,100,48.92,101565,53.96,2.6,48.92,101250,0.829589435696783
2020-01-02 10:00:00,"2020-01-02 02:00:00",51.98,1.5,80,48.02,101565,51.98,1.5,48.02,101250,0.862733932989401
