"date_UTC","date_local","temp","wind_spd","wind_dir","dew_point","atm_pres","temp_noFill","wind_spd_noFill","dew_point_noFill","atm_pres_noFill","rel_hum"
2020-01-01 00:00:00,"2019-12-31 19:00:00",39.02,3.93333333333333,300,33.38,100095,39.02,3.93333333333333,33.38,100095,0.799599127874845
2020-01-01 01:00:00,"2019-12-31 20:00:00",39.02,5.1,240,33.08,100095,39.02,5.1,33.08,100090,0.790004882188954
2020-01-01 02:00:00,"2019-12-31 21:00:00",39.47,4.35,250,33.08,100095,39.47,4.35,33.08,100030,0.776199772711817
2020-01-01 03:00:00,"2019-12-31 22:00:00",39.47,5.4,260,33.08,100095,39.47,5.4,33.08,100025,0.776199772711817
2020-01-01 04:00:00,"2019-12-31 23:00:00",39.92,6.2,240,33.08,100095,39.92,6.2,33.08,99960,0.762660048589402
2020-01-01 05:00:00,"2020-01-01 00:00:00",39.92,5.1,240,32,100095,39.92,5.1,32,99970,0.730110127742289
2020-01-01 06:00:00,"2020-01-01 01:00:00",39.92,6.4,240,30.47,100095,39.92,6.4,30.47,99995,0.68609579771479
2020-01-01 07:00:00,"2020-01-01 02:00:00",39.02,7.2,270,28.04,100095,39.02,7.2,28.04,100060,0.643303337090818
2020-01-01 08:00:00,"2020-01-01 03:00:00",37.94,7.2,270,24.98,100095,37.94,7.2,24.98,100100,0.591124567932061
2020-01-01 09:00:00,"2020-01-01 04:00:00",37.49,6.15,270,23.99,100095,37.49,6.15,23.99,100095,0.577263579103603
2020-01-01 10:00:00,"2020-01-01 05:00:00",37.04,5.7,250,24.08,100095,37.04,5.7,24.08,100080,0.5898687937514
2020-01-01 11:00:00,"2020-01-01 06:00:00",35.96,4.6,250,24.98,100095,35.96,4.6,24.98,100120,0.639392807910403
2020-01-01 12:00:00,"2020-01-01 07:00:00",36.5,4.35,250,24.53,100095,36.5,4.35,24.53,100135,0.614130736729996
2020-01-01 13:00:00,"2020-01-01 08:00:00",39.02,6.2,260,24.08,100095,39.02,6.2,24.08,100210,0.545520763339491
2020-01-01 14:00:00,"2020-01-01 09:00:00",41,7.2,270,24.08,100095,41,7.2,24.08,100250,0.504825985254588
2020-01-01 15:00:00,"2020-01-01 10:00:00",41,7.7,270,23.54,100095,41,7.7,23.54,100255,0.493481464870399
2020-01-01 16:00:00,"2020-01-01 11:00:00",42.08,5.1,270,24.08,100095,42.08,5.1,24.08,100220,0.484050515851669
2020-01-01 17:00:00,"2020-01-01 12:00:00",42.08,9.3,260,23,100095,42.08,9.3,23,100190,0.462509687156371
2020-01-01 18:00:00,"2020-01-01 13:00:00",41.54,9.05,260,23,100095,41.54,9.05,23,100195,0.472321835141858
2020-01-01 19:00:00,"2020-01-01 14:00:00",41,7.7,280,23,100095,41,7.7,23,100290,0.482364428760512
2020-01-01 20:00:00,"2020-01-01 15:00:00",39.92,6.7,290,21.92,100095,39.92,6.7,21.92,100360,0.480671234395223
2020-01-01 21:00:00,"2020-01-01 16:00:00",39.92,6.95,290,21.92,100095,39.92,6.95,21.92,100410,0.480671234395223
2020-01-01 22:00:00,"2020-01-01 17:00:00",39.02,6.7,280,23,100095,39.02,6.7,23,100540,0.521256602452023
2020-01-01 23:00:00,"2020-01-01 18:00:00",37.94,8.8,280,23,100095,37.94,8.8,23,100590,0.543921418685116
2020-01-02 00:00:00,"2020-01-01 19:00:00",37.94,8.25,280,22.46,100095,37.94,8.25,22.46,100630,0.531643867406853
2020-01-02 01:00:00,"2020-01-01 20:00:00",37.94,7.7,270,21.92,100095,37.94,7.7,21.92,100720,0.519613516182901
2020-01-02 02:00:00,"2020-01-01 21:00:00",37.04,7.2,270,21.92,100095,37.04,7.2,21.92,100780,0.538456247077838
2020-01-02 03:00:00,"2020-01-01 22:00:00",37.04,7.7,270,21.47,100095,37.04,7.7,21.47,100795,0.528261381401022
2020-01-02 04:00:00,"2020-01-01 23:00:00",35.96,7.2,260,19.94,100095,35.96,7.2,19.94,100850,0.516582226076721
2020-01-02 05:00:00,"2020-01-02 00:00:00",37.04,8.2,270,19.94,100095,37.04,8.2,19.94,100920,0.494871836118081
2020-01-02 06:00:00,"2020-01-02 01:00:00",37.04,6.65,270,20.48,100095,37.04,6.65,20.48,100975,0.506435226221973
2020-01-02 07:00:00,"2020-01-02 02:00:00",35.96,4.1,250,21.02,100095,35.96,4.1,21.02,101050,0.5409700454232
2020-01-02 08:00:00,"2020-01-02 03:00:00",33.98,4.6,220,21.02,100095,33.98,4.6,21.02,101080,0.585560483741368
2020-01-02 09:00:00,"2020-01-02 04:00:00",34.97,4.85,220,22.01,100095,34.97,4.85,22.01,101080,0.586960886908725
2020-01-02 10:00:00,"2020-01-02 05:00:00",35.06,5.1,230,21.92,100095,35.06,5.1,21.92,101140,0.582624253153356
2020-01-02 11:00:00,"2020-01-02 06:00:00",35.06,6.2,240,21.92,100095,35.06,6.2,21.92,101200,0.582624253153356
2020-01-02 12:00:00,"2020-01-02 07:00:00",35.51,5.65,240,21.92,100095,35.51,5.65,21.92,101235,0.572245464966652
2020-01-02 13:00:00,"2020-01-02 08:00:00",37.04,6.7,230,23,100095,37.04,6.7,23,101270,0.5636415738383
2020-01-02 14:00:00,"2020-01-02 09:00:00",39.02,5.7,240,23,100095,39.02,5.7,23,101270,0.521256602452023
2020-01-02 15:00:00,"2020-01-02 10:00:00",40.01,5.95,240,22.46,100095,40.01,5.95,22.46,101250,0.490072689556529
2020-01-02 16:00:00,"2020-01-02 11:00:00",42.98,4.1,230,21.02,100095,42.98,4.1,21.02,101120,0.410642496382232
2020-01-02 17:00:00,"2020-01-02 12:00:00",46.94,6.2,240,19.94,100095,46.94,6.2,19.94,101060,0.336797804996362
2020-01-02 18:00:00,"2020-01-02 13:00:00",46.94,5.65,240,20.48,100095,46.94,5.65,20.48,101040,0.344677004823326
2020-01-02 19:00:00,"2020-01-02 14:00:00",48.02,7.2,240,23,100095,48.02,7.2,23,101060,0.368239548687182
2020-01-02 20:00:00,"2020-01-02 15:00:00",46.945535281796,5.6434346280302,225,24.634162615836,100095,NA,NA,NA,NA,0.410922214468697
2020-01-02 21:00:00,"2020-01-02 16:00:00",44.96,3.6,210,26.06,100095,44.96,3.6,26.06,101080,0.470561147561601
2020-01-02 22:00:00,"2020-01-02 17:00:00",44.06,4.1,190,28.04,100095,44.06,4.1,28.04,101040,0.528826902179647
2020-01-02 23:00:00,"2020-01-02 18:00:00",42.98,3.1,200,28.04,100095,42.98,3.1,28.04,101030,0.551321297047211
2020-01-03 00:00:00,"2020-01-02 19:00:00",43.97,5.15,200,27.05,100095,43.97,5.15,27.05,101010,0.509356432291068
2020-01-03 01:00:00,"2020-01-02 20:00:00",44.06,6.2,230,28.04,100095,44.06,6.2,28.04,100960,0.528826902179647
2020-01-03 02:00:00,"2020-01-02 21:00:00",44.06,6.7,220,30.02,100095,44.06,6.7,30.02,100940,0.573671501401875
2020-01-03 03:00:00,"2020-01-02 22:00:00",44.51,6.95,220,30.47,100095,44.51,6.95,30.47,100915,0.574303633634919
2020-01-03 04:00:00,"2020-01-02 23:00:00",44.96,6.7,230,30.92,100095,44.96,6.7,30.92,100830,0.574934457428631
2020-01-03 05:00:00,"2020-01-03 00:00:00",46.04,5.1,240,30.92,100095,46.04,5.1,30.92,100790,0.551672800488497
2020-01-03 06:00:00,"2020-01-03 01:00:00",45.05,4.6,240,30.92,100095,45.05,4.6,30.92,100805,0.57295522953631
2020-01-03 07:00:00,"2020-01-03 02:00:00",44.96,4.1,220,30.92,100095,44.96,4.1,30.92,100790,0.574934457428631
2020-01-03 08:00:00,"2020-01-03 03:00:00",44.96,3.6,240,30.92,100095,44.96,3.6,30.92,100820,0.574934457428631
2020-01-03 09:00:00,"2020-01-03 04:00:00",44.96,3.1,240,30.92,100095,44.96,3.1,30.92,100815,0.574934457428631
2020-01-03 10:00:00,"2020-01-03 05:00:00",46.04,2.6,230,30.92,100095,46.04,2.6,30.92,100870,0.551672800488497
2020-01-03 11:00:00,"2020-01-03 06:00:00",44.96,2.6,200,30.92,100095,44.96,2.6,30.92,100850,0.574934457428631
2020-01-03 12:00:00,"2020-01-03 07:00:00",45.5,3.35,200,31.46,100095,45.5,3.35,31.46,100875,0.575689717352976
2020-01-03 13:00:00,"2020-01-03 08:00:00",46.94,3.6,220,32,100095,46.94,3.6,32,100930,0.557020943865151
2020-01-03 14:00:00,"2020-01-03 09:00:00",48.02,4.1,240,33.08,100095,48.02,4.1,33.08,100950,0.558557748077414
2020-01-03 15:00:00,"2020-01-03 10:00:00",48.47,4.1,240,33.08,100095,48.47,4.1,33.08,100910,0.549134290967965
2020-01-03 16:00:00,"2020-01-03 11:00:00",50,4.1,230,33.08,100095,50,4.1,33.08,100750,0.518382246949678
2020-01-03 17:00:00,"2020-01-03 12:00:00",51.08,3.1,280,32,100095,51.08,3.1,32,100700,0.476505596449793
2020-01-03 18:00:00,"2020-01-03 13:00:00",51.08,1.55,280,32.54,100095,51.08,1.55,32.54,100665,0.487058815435215
2020-01-03 19:00:00,"2020-01-03 14:00:00",51.08,2.1,240,33.98,100095,51.08,2.1,33.98,100730,0.516221912207131
2020-01-03 20:00:00,"2020-01-03 15:00:00",50,3.1,230,33.98,100095,50,3.1,33.98,100740,0.537540067943464
2020-01-03 21:00:00,"2020-01-03 16:00:00",49.46,2.85,230,33.98,100095,49.46,2.85,33.98,100755,0.548561543270963
2020-01-03 22:00:00,"2020-01-03 17:00:00",48.92,3.6,220,35.06,100095,48.92,3.6,35.06,100840,0.584627930614024
2020-01-03 23:00:00,"2020-01-03 18:00:00",50,3.6,210,35.96,100095,50,3.6,35.96,100780,0.581909961910179
2020-01-04 00:00:00,"2020-01-03 19:00:00",50,3.35,210,35.96,100095,50,3.35,35.96,100795,0.581909961910179
2020-01-04 01:00:00,"2020-01-03 20:00:00",48.92,3.6,220,35.96,100095,48.92,3.6,35.96,100880,0.606027386885319
2020-01-04 02:00:00,"2020-01-03 21:00:00",50,2.6,280,35.96,100095,50,2.6,35.96,100880,0.581909961910179
2020-01-04 03:00:00,"2020-01-03 22:00:00",50,2.6,280,35.96,100095,50,2.6,35.96,100900,0.581909961910179
2020-01-04 04:00:00,"2020-01-03 23:00:00",48.02,2.1,200,35.96,100095,48.02,2.1,35.96,100870,0.626967619853917
2020-01-04 05:00:00,"2020-01-04 00:00:00",48.02,1.5,230,35.96,100095,48.02,1.5,35.96,100820,0.626967619853917
2020-01-04 06:00:00,"2020-01-04 01:00:00",48.02,1.8,230,36.5,100095,48.02,1.8,36.5,100830,0.640587661475528
2020-01-04 07:00:00,"2020-01-04 02:00:00",48.02,2.1,260,37.04,100095,48.02,2.1,37.04,100830,0.654467988385933
2020-01-04 08:00:00,"2020-01-04 03:00:00",44.96,0,227.142857142857,35.96,100095,44.96,0,35.96,100850,0.704351317993518
2020-01-04 09:00:00,"2020-01-04 04:00:00",44.51,0,194.285714285714,36.5,100095,44.51,0,36.5,100820,0.7321402933396
2020-01-04 10:00:00,"2020-01-04 05:00:00",46.94,0,161.428571428571,39.02,100095,46.94,0,39.02,100800,0.737175629866559
2020-01-04 11:00:00,"2020-01-04 06:00:00",44.96,0,128.571428571429,37.94,100095,44.96,0,37.94,100670,0.761826307020502
2020-01-04 12:00:00,"2020-01-04 07:00:00",45.95,0,95.7142857142857,38.93,100095,45.95,0,38.93,100700,0.762730177703164
2020-01-04 13:00:00,"2020-01-04 08:00:00",46.04,-5.55111512312578e-17,62.8571428571429,39.02,100095,46.04,0,39.02,100740,0.762812103664397
2020-01-04 14:00:00,"2020-01-04 09:00:00",46.04,2.1,30,39.02,100095,46.04,2.1,39.02,100690,0.762812103664397
2020-01-04 15:00:00,"2020-01-04 10:00:00",46.22,1.86,30,39.74,100095,46.22,1.86,39.74,100620,0.779281881474101
2020-01-04 16:00:00,"2020-01-04 11:00:00",44.36,3.1,90,39.02,100095,44.36,3.1,39.02,100340,0.813332908812116
2020-01-04 17:00:00,"2020-01-04 12:00:00",44.06,2.85,60,39.02,100095,44.06,2.85,39.02,100310,0.822736200139789
