"date_UTC","date_local","temp","wind_spd","wind_dir","dew_point","atm_pres","temp_noFill","wind_spd_noFill","dew_point_noFill","atm_pres_noFill","rel_hum"
2020-01-01 00:00:00,"2019-12-31 19:00:00",44.51,4.6,220,35.06,100315,44.51,4.6,35.06,100315,0.691327620290286
2020-01-01 01:00:00,"2019-12-31 20:00:00",44.06,7.2,280,33.98,100315,44.06,7.2,33.98,100390,0.673583212778499
2020-01-01 02:00:00,"2019-12-31 21:00:00",42.98,6.2,270,32,100315,42.98,6.2,32,100350,0.648277607990163
2020-01-01 03:00:00,"2019-12-31 22:00:00",42.53,5.95,270,32,100315,42.53,5.95,32,100350,0.659650479950576
2020-01-01 04:00:00,"2019-12-31 23:00:00",42.08,6.2,280,26.96,100315,42.08,6.2,26.96,100370,0.545921442260475
2020-01-01 05:00:00,"2020-01-01 00:00:00",39.92,6.2,270,24.98,100315,39.92,6.2,24.98,100380,0.546847874132873
2020-01-01 06:00:00,"2020-01-01 01:00:00",39.92,6.95,270,25.52,100315,39.92,6.95,25.52,100400,0.559331940963399
2020-01-01 07:00:00,"2020-01-01 02:00:00",39.92,7.2,280,24.98,100315,39.92,7.2,24.98,100450,0.546847874132873
2020-01-01 08:00:00,"2020-01-01 03:00:00",39.02,7.2,260,23,100315,39.02,7.2,23,100500,0.521256602452023
2020-01-01 09:00:00,"2020-01-01 04:00:00",38.48,6.7,260,23,100315,38.48,6.7,23,100505,0.532455832637436
2020-01-01 10:00:00,"2020-01-01 05:00:00",37.94,8.2,260,19.94,100315,37.94,8.2,19.94,100550,0.477548725192928
2020-01-01 11:00:00,"2020-01-01 06:00:00",37.04,8.2,260,23,100315,37.04,8.2,23,100570,0.5636415738383
2020-01-01 12:00:00,"2020-01-01 07:00:00",37.04,6.95,260,23,100315,37.04,6.95,23,100595,0.5636415738383
2020-01-01 13:00:00,"2020-01-01 08:00:00",37.04,7.7,260,21.02,100315,37.04,7.7,21.02,100710,0.518238692950262
2020-01-01 14:00:00,"2020-01-01 09:00:00",37.94,6.7,260,19.04,100315,37.94,6.7,19.04,100770,0.459452699227992
2020-01-01 15:00:00,"2020-01-01 10:00:00",38.48,7.45,260,18.5,100315,38.48,7.45,18.5,100760,0.439421934537033
2020-01-01 16:00:00,"2020-01-01 11:00:00",39.92,10.3,270,17.96,100315,39.92,10.3,17.96,100710,0.40566166801781
2020-01-01 17:00:00,"2020-01-01 12:00:00",39.02,8.2,310,19.04,100315,39.02,8.2,19.04,100680,0.440295703489457
2020-01-01 18:00:00,"2020-01-01 13:00:00",39.02,9.25,310,18.5,100315,39.02,9.25,18.5,100695,0.430173089693314
2020-01-01 19:00:00,"2020-01-01 14:00:00",39.02,8.2,300,17.96,100315,39.02,8.2,17.96,100760,0.420258695491927
2020-01-01 20:00:00,"2020-01-01 15:00:00",39.02,6.7,290,19.04,100315,39.02,6.7,19.04,100840,0.440295703489457
2020-01-01 21:00:00,"2020-01-01 16:00:00",39.02,5.9,290,18.5,100315,39.02,5.9,18.5,100900,0.430173089693314
2020-01-01 22:00:00,"2020-01-01 17:00:00",37.94,7.2,260,19.04,100315,37.94,7.2,19.04,101020,0.459452699227992
2020-01-01 23:00:00,"2020-01-01 18:00:00",37.94,8.2,270,19.04,100315,37.94,8.2,19.04,101090,0.459452699227992
2020-01-02 00:00:00,"2020-01-01 19:00:00",37.49,6.95,270,19.04,100315,37.49,6.95,19.04,101115,0.46770510993491
2020-01-02 01:00:00,"2020-01-01 20:00:00",35.96,7.7,260,17.96,100315,35.96,7.7,17.96,101200,0.474402725043802
2020-01-02 02:00:00,"2020-01-01 21:00:00",35.96,5.1,290,17.96,100315,35.96,5.1,17.96,101240,0.474402725043802
2020-01-02 03:00:00,"2020-01-01 22:00:00",35.96,5.1,290,17.96,100315,35.96,5.1,17.96,101240,0.474402725043802
2020-01-02 04:00:00,"2020-01-01 23:00:00",35.96,3.6,250,17.06,100315,35.96,3.6,17.06,101280,0.45626706266772
2020-01-02 05:00:00,"2020-01-02 00:00:00",35.96,4.1,250,17.96,100315,35.96,4.1,17.96,101260,0.474402725043802
2020-01-02 06:00:00,"2020-01-02 01:00:00",35.96,4.6,250,18.5,100315,35.96,4.6,18.5,101295,0.485590218745814
2020-01-02 07:00:00,"2020-01-02 02:00:00",33.98,3.6,230,19.94,100315,33.98,3.6,19.94,101360,0.559170886208922
2020-01-02 08:00:00,"2020-01-02 03:00:00",35.06,4.1,220,19.94,100315,35.06,4.1,19.94,101370,0.535479385478454
2020-01-02 09:00:00,"2020-01-02 04:00:00",35.06,3.85,220,20.48,100315,35.06,3.85,20.48,101390,0.54798777531583
2020-01-02 10:00:00,"2020-01-02 05:00:00",35.06,3.6,240,21.02,100315,35.06,3.6,21.02,101440,0.560755586613161
2020-01-02 11:00:00,"2020-01-02 06:00:00",35.06,4.1,230,21.02,100315,35.06,4.1,21.02,101510,0.560755586613161
2020-01-02 12:00:00,"2020-01-02 07:00:00",35.51,2.8,230,21.47,100315,35.51,2.8,21.47,101505,0.561413687149725
2020-01-02 13:00:00,"2020-01-02 08:00:00",37.94,2.6,200,21.92,100315,37.94,2.6,21.92,101520,0.519613516182901
2020-01-02 14:00:00,"2020-01-02 09:00:00",42.08,4.6,200,23,100315,42.08,4.6,23,101570,0.462509687156371
2020-01-02 15:00:00,"2020-01-02 10:00:00",42.53,4.35,200,23,100315,42.53,4.35,23,101525,0.45450476020303
2020-01-02 16:00:00,"2020-01-02 11:00:00",44.96,5.1,240,23,100315,44.96,5.1,23,101410,0.413838592159657
2020-01-02 17:00:00,"2020-01-02 12:00:00",46.04,5.1,230,23,100315,46.04,5.1,23,101320,0.397069033561087
2020-01-02 18:00:00,"2020-01-02 13:00:00",47.03,5.1,230,23,100315,47.03,5.1,23,101310,0.38235434976896
2020-01-02 19:00:00,"2020-01-02 14:00:00",48.92,5.1,200,23,100315,48.92,5.1,23,101260,0.355905969507834
2020-01-02 20:00:00,"2020-01-02 15:00:00",48.02,3.1,170,28.04,100315,48.02,3.1,28.04,101230,0.454610683361357
2020-01-02 21:00:00,"2020-01-02 16:00:00",47.48,2.85,170,30.02,100315,47.48,2.85,30.02,101215,0.503396421620268
2020-01-02 22:00:00,"2020-01-02 17:00:00",48.02,4.1,210,28.94,100315,48.02,4.1,28.94,101200,0.471802988188454
2020-01-02 23:00:00,"2020-01-02 18:00:00",46.04,3.1,180,33.08,100315,46.04,3.1,33.08,101160,0.60219330812296
2020-01-03 00:00:00,"2020-01-02 19:00:00",46.49,2.85,180,32,100315,46.49,2.85,32,101170,0.56664025726582
2020-01-03 01:00:00,"2020-01-02 20:00:00",46.94,3.1,220,30.92,100315,46.94,3.1,30.92,101200,0.533079975259117
2020-01-03 02:00:00,"2020-01-02 21:00:00",46.04,2.1,210,32,100315,46.04,2.1,32,101140,0.576443089749056
2020-01-03 03:00:00,"2020-01-02 22:00:00",46.04,2.35,210,32,100315,46.04,2.35,32,101090,0.576443089749056
2020-01-03 04:00:00,"2020-01-02 23:00:00",46.94,2.6,220,33.08,100315,46.94,2.6,33.08,101010,0.581909801136158
2020-01-03 05:00:00,"2020-01-03 00:00:00",46.94,2.6,230,33.08,100315,46.94,2.6,33.08,100950,0.581909801136158
2020-01-03 06:00:00,"2020-01-03 01:00:00",46.94,2.85,230,33.53,100315,46.94,2.85,33.53,100980,0.592567346225298
2020-01-03 07:00:00,"2020-01-03 02:00:00",48.02,3.6,240,33.98,100315,48.02,3.6,33.98,100970,0.57918927551932
2020-01-03 08:00:00,"2020-01-03 03:00:00",46.94,2.6,230,35.06,100315,46.94,2.6,35.06,100950,0.630105738734687
2020-01-03 09:00:00,"2020-01-03 04:00:00",46.49,2.35,230,36.05,100315,46.49,2.35,36.05,100970,0.666805041441118
