Region,Date,min.temp,mean.temp,max.temp,min.relhum,mean.relhum,max.relhum
Italy,2/1/2020,50,53.8,57,77,86.9,94
Italy,2/2/2020,54,56.3,61,63,80.9,94
Italy,2/3/2020,48,54.9,64,59,82.1,100
Italy,2/4/2020,45,52.4,63,42,75.3,100
Italy,2/5/2020,39,46.1,54,21,43,65
Italy,2/6/2020,36,44.8,54,16,32.8,48
Italy,2/7/2020,32,42.8,55,19,45,65
Italy,2/8/2020,34,44.1,59,31,59.1,81
Italy,2/9/2020,37,50.1,57,55,70.3,88
Italy,2/10/2020,48,53.8,57,77,83.7,94
Italy,2/11/2020,50,56.6,64,59,78.6,94
Italy,2/12/2020,46,53.4,61,52,65.1,81
Italy,2/13/2020,41,51.2,59,51,71.5,87
Italy,2/14/2020,46,55.8,63,37,60.8,94
Italy,2/15/2020,41,50.5,63,30,58.1,76
Italy,2/16/2020,39,50.4,63,37,69.2,87
Italy,2/17/2020,39,49.7,63,36,68.4,87
Italy,2/18/2020,41,51.2,59,67,82.7,94
Italy,2/19/2020,43,49.5,57,63,90.6,100
Italy,2/20/2020,39,49.3,61,29,63.8,100
Italy,2/21/2020,36,48.5,61,38,65,87
Italy,2/22/2020,41,50.9,61,45,76.1,100
Italy,2/23/2020,43,51.8,63,48,82.3,100
Italy,2/24/2020,52,55.9,61,67,78.7,88
Italy,2/25/2020,50,56.2,63,55,76.1,94
Italy,2/26/2020,43,52.9,61,42,69.6,88
Italy,2/27/2020,36,47.8,55,26,62.4,88
Italy,2/28/2020,45,54.8,61,22,49.6,88
Italy,2/29/2020,39,52,59,38,56.4,72
Italy,3/1/2020,54,56.9,61,63,79.2,94
Italy,3/2/2020,52,55.9,61,63,82.1,94
Italy,3/3/2020,46,51.1,54,62,70,82
Italy,3/4/2020,39,48.4,59,45,71.6,93
Italy,3/5/2020,39,50.4,59,36,67.2,88
Italy,3/6/2020,48,53.9,59,59,77.3,100
Italy,3/7/2020,45,50.8,59,42,72.2,93
Italy,3/8/2020,41,50.6,61,34,56.6,87
Italy,3/9/2020,39,48.4,57,33,64.5,88
Italy,3/10/2020,39,51.5,61,31,62.9,87
Italy,3/11/2020,43,56.4,64,30,62.3,88
Italy,3/12/2020,48,57.8,63,48,69.9,88
Italy,3/13/2020,50,55.9,61,72,84.2,94
Germany,2/1/2020,46,52,55,66,83.8,100
Germany,2/2/2020,43,49.6,55,72,83.5,100
Germany,2/3/2020,41,49.5,54,71,82.2,100
Germany,2/4/2020,36,40.4,45,71,88.4,100
Germany,2/5/2020,34,39.6,45,66,85.8,100
Germany,2/6/2020,32,39.5,45,70,83.4,93
Germany,2/7/2020,30,39.1,48,54,73.2,100
